PRIMARY_COM_NAME;SCI_NAME
White-cheeked Pintail (White-cheeked);Anas bahamensis bahamensis/rubrirostris
White-cheeked Pintail (Galapagos);Anas bahamensis galapagensis
Mallard x White-cheeked Pintail (hybrid);Anas platyrhynchos x bahamensis
Red-billed Duck;Anas erythrorhyncha
Yellow-billed x Red-billed Duck (hybrid);Anas undulata x erythrorhyncha
Cape Teal x Red-billed Duck (hybrid);Anas capensis x erythrorhyncha
Northern Pintail;Anas acuta
Baikal Teal x Northern Pintail (hybrid);Sibirionetta formosa x Anas acuta
Northern Shoveler x Northern Pintail (hybrid);Spatula clypeata x Anas acuta
Gadwall x Northern Pintail (hybrid);Mareca strepera x Anas acuta
Eurasian Wigeon x Northern Pintail (hybrid);Mareca penelope x Anas acuta
American Wigeon x Northern Pintail (hybrid);Mareca americana x Anas acuta
Pacific Black Duck x Northern Pintail (hybrid);Anas superciliosa x acuta
Mallard x Northern Pintail (hybrid);Anas platyrhynchos x acuta
American Black Duck x Northern Pintail (hybrid);Anas rubripes x acuta
Eaton's Pintail;Anas eatoni
Yellow-billed Pintail;Anas georgica
Yellow-billed Pintail (South Georgia);Anas georgica georgica
Yellow-billed Pintail (South American);Anas georgica spinicauda/niceforoi
White-cheeked x Yellow-billed Pintail (hybrid);Anas bahamensis x georgica
Green-winged Teal;Anas crecca
Green-winged Teal (Eurasian);Anas crecca crecca
Green-winged Teal (American);Anas crecca carolinensis
Green-winged Teal (Eurasian x American);Anas crecca crecca x carolinensis
Baikal x Green-winged Teal (hybrid);Sibirionetta formosa x Anas crecca
Garganey x Green-winged Teal (hybrid);Spatula querquedula x Anas crecca
Blue-winged x Green-winged Teal (hybrid);Spatula discors x Anas crecca
Cinnamon x Green-winged Teal (hybrid);Spatula cyanoptera x Anas crecca
Gadwall x Green-winged Teal (hybrid);Mareca strepera x Anas crecca
Eurasian Wigeon x Green-winged Teal (hybrid);Mareca penelope x Anas crecca
American Wigeon x Green-winged Teal (hybrid);Mareca americana x Anas crecca
Mallard x Green-winged Teal (hybrid);Anas platyrhynchos x crecca
Northern Pintail x Green-winged Teal (hybrid);Anas acuta x crecca
Garganey/Green-winged Teal;Spatula querquedula/Anas crecca
Andean Teal;Anas andium
Andean Teal (Merida);Anas andium altipetens
Andean Teal (Andean);Anas andium andium
Yellow-billed Teal;Anas flavirostris
Yellow-billed Teal (flavirostris);Anas flavirostris flavirostris
Yellow-billed Teal (oxyptera);Anas flavirostris oxyptera
Yellow-billed Pintail/Yellow-billed Teal;Anas georgica/flavirostris
Andean/Yellow-billed Teal;Anas andium/flavirostris
Mauritius Duck;Anas theodori
Andaman Teal;Anas albogularis
Sunda Teal;Anas gibberifrons
Gray Teal;Anas gracilis
Pacific Black Duck x Gray Teal (hybrid);Anas superciliosa x gracilis
Sunda/Gray Teal;Anas gibberifrons/gracilis
Chestnut Teal;Anas castanea
Pacific Black Duck x Chestnut Teal (hybrid);Anas superciliosa x castanea
Gray x Chestnut Teal (hybrid);Anas gracilis x castanea
Gray/Chestnut Teal;Anas gracilis/castanea
Bernier's Teal;Anas bernieri
Auckland Islands Teal;Anas aucklandica
Campbell Islands Teal;Anas nesiotis
Brown Teal;Anas chlorotis
Mallard x Brown Teal (hybrid);Anas platyrhynchos x chlorotis
Anas sp.;Anas sp.
teal sp.;Anatidae sp. (teal sp.)
dabbling duck sp.;Anatidae sp. (dabbling duck sp.)
Pink-eared Duck;Malacorhynchus membranaceus
Marbled Duck;Marmaronetta angustirostris
Pink-headed Duck;Rhodonessa caryophyllacea
White-winged Duck;Asarcornis scutulata
Red-crested Pochard;Netta rufina
Mallard x Red-crested Pochard (hybrid);Anas platyrhynchos x Netta rufina
Southern Pochard;Netta erythrophthalma
Rosy-billed Pochard;Netta peposaca
Canvasback;Aythya valisineria
Redhead;Aythya americana
Mallard x Redhead (hybrid);Anas platyrhynchos x Aythya americana
Canvasback x Redhead (hybrid);Aythya valisineria x americana
Common Pochard;Aythya ferina
Mallard x Common Pochard (hybrid);Anas platyrhynchos x Aythya ferina
Red-crested x Common Pochard (hybrid);Netta rufina x Aythya ferina
Ring-necked Duck;Aythya collaris
Mallard x Ring-necked Duck (hybrid);Anas platyrhynchos x Aythya collaris
Canvasback x Ring-necked Duck (hybrid);Aythya valisineria x collaris
Redhead x Ring-necked Duck (hybrid);Aythya americana x collaris
Ferruginous Duck;Aythya nyroca
Red-crested Pochard x Ferruginous Duck (hybrid);Netta rufina x Aythya nyroca
Common Pochard x Ferruginous Duck (hybrid);Aythya ferina x nyroca
Madagascar Pochard;Aythya innotata
Baer's Pochard;Aythya baeri
Common x Baer's Pochard (hybrid);Aythya ferina x baeri
Ferruginous Duck x Baer's Pochard (hybrid);Aythya nyroca x baeri
Ferruginous Duck/Baer's Pochard;Aythya nyroca/baeri
Hardhead;Aythya australis
Gray Teal x Hardhead (hybrid);Anas gracilis x Aythya australis
Tufted Duck;Aythya fuligula
